type,year,year_date,obs_value
new start-ups,2013,2013-01-01,54
new start-ups,2014,2014-01-01,63
new start-ups,2015,2015-01-01,64
new start-ups,2016,2016-01-01,69
new start-ups,2017,2017-01-01,70
new start-ups,2018,2018-01-01,73
new start-ups,2019,2019-01-01,82
new start-ups,2020,2020-01-01,86
new start-ups,2021,2021-01-01,80
new start-ups,2022,2022-01-01,70
with a formal licence of IP,2013,2013-01-01,37
with a formal licence of IP,2014,2014-01-01,39
with a formal licence of IP,2015,2015-01-01,41
with a formal licence of IP,2016,2016-01-01,46
with a formal licence of IP,2017,2017-01-01,51
with a formal licence of IP,2018,2018-01-01,40
with a formal licence of IP,2019,2019-01-01,58
with a formal licence of IP,2020,2020-01-01,53
with a formal licence of IP,2021,2021-01-01,32
with a formal licence of IP,2022,2022-01-01,28
