iso3,country,year,obs_value,year_date
USA,United States,2023,14.71,2023-01-01
NLD,Netherlands,2023,13.69,2023-01-01
CHE,Switzerland,2023,10.29,2023-01-01
GBR,United Kingdom,2023,11.76,2023-01-01
SWE,Sweden,2023,9.25,2023-01-01
DEU,Germany,2023,7.69,2023-01-01
KOR,South Korea,2023,10.23,2023-01-01
USA,United States,2022,19.19,2022-01-01
NLD,Netherlands,2022,12.45,2022-01-01
CHE,Switzerland,2022,7.37,2022-01-01
GBR,United Kingdom,2022,12.89,2022-01-01
SWE,Sweden,2022,9.09,2022-01-01
DEU,Germany,2022,9.09,2022-01-01
KOR,South Korea,2022,11.9,2022-01-01
USA,United States,2021,16.52,2021-01-01
NLD,Netherlands,2021,14.21,2021-01-01
CHE,Switzerland,2021,9.8,2021-01-01
GBR,United Kingdom,2021,12.58,2021-01-01
SWE,Sweden,2021,8.97,2021-01-01
DEU,Germany,2021,6.91,2021-01-01
KOR,South Korea,2021,13.39,2021-01-01
FIN,Finland,2021,7.89,2021-01-01
USA,United States,2020,15.4,2020-01-01
NLD,Netherlands,2020,11.5,2020-01-01
CHE,Switzerland,2020,9.2,2020-01-01
GBR,United Kingdom,2020,7.8,2020-01-01
SWE,Sweden,2020,7.3,2020-01-01
DEU,Germany,2020,4.8,2020-01-01
KOR,South Korea,2020,13,2020-01-01
USA,United States,2019,17.42,2019-01-01
NLD,Netherlands,2019,10.38,2019-01-01
CHE,Switzerland,2019,9.77,2019-01-01
GBR,United Kingdom,2019,9.34,2019-01-01
SWE,Sweden,2019,8.25,2019-01-01
DEU,Germany,2019,7.63,2019-01-01
KOR,South Korea,2019,14.94,2019-01-01
USA,United States,2018,15.59,2018-01-01
NLD,Netherlands,2018,12.29,2018-01-01
CHE,Switzerland,2018,7.37,2018-01-01
GBR,United Kingdom,2018,8.24,2018-01-01
SWE,Sweden,2018,6.82,2018-01-01
DEU,Germany,2018,4.97,2018-01-01
KOR,South Korea,2018,14.65,2018-01-01
